operation,before_best_time_sec,after_best_time_sec,before_avg_time_sec,after_avg_time_sec,speedup_ratio,rows_before,rows_after
sum_sales_by_country,0.04911600000014005,0.012153300000136369,0.05108357999979489,0.013794000000234518,4.041371479317464,,
sum_sales_by_month,0.010695799999666633,0.010547500000029686,0.01248751999974047,0.011441399999966961,1.0140602038053121,,
top10_customers_by_revenue,0.019391600000744802,0.010947400000077323,0.02027639999996609,0.011403880000034405,1.7713429673354255,,
filter_united_kingdom,0.0827264000008654,0.07735279999997147,0.0905839200000628,0.08115206000002217,1.069468719954493,495478,495478
filter_sales_over_1000,0.0012980999999854248,0.0013096000002406072,0.0014322200002425233,0.0014401600001292536,0.9912186925373629,388,388
